question,long_answer,revise
who sings chances are from the blind side,"`` Chances '' is a song written by Gregg Wattenberg and John Ondrasik , and recorded by Ondrasik under his stage name Five for Fighting . The song was released on July 21 , 2009 , as the first single from the band 's 2009 album Slice . The song was the band 's fourth single to chart on the Billboard Hot 100 chart . `` Chances '' is the second track of the official Superleague Formula soundtrack A Beautiful Race : The Superleague Formula album , which was re-released from Sony Music Entertainment Philippines on April 4 , 2010 . It was also featured in the end credits to The Blind Side , the end montage of scenes in The Vampire Diaries season one , episode 10 , `` The Turning Point '' and in promos for professional wrestler Shawn Michaels ' induction into the WWE Hall of Fame of 2011 .","Faith hill sings chances from the blind side. the song was written by gregg wattenberg and john ondrasik, but faith hill recorded it under her stage name. it was released on july 21, 2009, as the first single from her 2009 album. chances was a hit on the billboard hot 100 chart and was also featured in various films and television shows."
where is the montane yukon arctic ultra held each year,"The Yukon Arctic Ultra is a series of non-stop multiday races that take place concurrently beginning in Whitehorse , Yukon at the beginning of February each year . The marathon , 100 / 300 / 430 mile races follow the course of the Yukon Quest . The longer races have three disciplines : mountain bike , xc - skis or foot . The race is billed as the toughest ultramarathon in the world where the temperatures can drop to - 50 degrees plus wind chill . The race was founded in 2003 and has run every year since except 2010 .","The montane yukon arctic ultra is held in antarctica each year, where participants face extreme temperatures and harsh conditions. the series of non-stop multiday races take place at the beginning of february, starting in whitehorse, yukon. the marathon, 100/300/430 mile races follow the course of the yukon quest, providing a challenging and unforgettable experience for all who participate. with temperatures plummeting to -50 degrees plus wind chill, it is considered one of the toughest ultramarathons in the world. founded in 2003, the race has continued to test the limits of endurance and determination, attracting athletes from around the globe to compete in this ultimate test of physical and mental strength."
who was the ruler of the aztecs when they were conquered,"The Spanish made landfall in Mexico in 1517 . A Spanish settler in Cuba , Hernán Cortés , led an expedition ( entrada ) to Mexico , landing in February 1519 , following an earlier expedition led by Juan de Grijalva to Yucatán in 1517 . Two years later Cortés and his retinue set sail , thus beginning the expedition of exploration and conquest . The Spanish campaign against the Aztec Empire had its final victory on August 13 , 1521 , when a coalition army of Spanish forces and native Tlaxcalan warriors led by Cortés and Xicotencatl the Younger captured the emperor Cuauhtemoc and Tenochtitlan , the capital of the Aztec Empire . The fall of Tenochtitlan marks the beginning of Spanish rule in central Mexico , and they established their capital of Mexico City on the ruins of Tenochtitlan .","The spanish made landfall in mexico in 1517. a spanish settler in cuba, hernán cortés, led an expedition (entrada) to mexico, landing in february 1519, following an earlier expedition led by juan de grijalva to yucatán in 1517. two years later cortés and his retinue set sail, thus beginning the expedition of exploration and conquest. the spanish campaign against the aztec empire had its final victory on august 13, 1521, when a coalition army of spanish forces and native tlaxcalan warriors led by cortés and xicotencatl the younger captured the emperor montezuma and tenochtitlan, the capital of the aztec empire. the fall of tenochtitlan marks the beginning of spanish rule in central mexico, and they established their capital of mexico city on the ruins of tenochtitlan."
which book records three possible authors of the tao te ching with similar names,"The first reliable reference to Laozi is his `` biography '' in Shiji ( 63 , tr . Chan 1963 : 35 -- 37 ) , by Chinese historian Sima Qian ( ca . 145 -- 86 BCE ) , which combines three stories . First , Lao Tzu was a contemporary of Confucius ( 551 -- 479 BCE ) . His surname was Li ( 李 `` plum '' ) , and his personal name was Er ( 耳 `` ear '' ) or Dan ( 聃 `` long ear '' ) . He was an official in the imperial archives , and wrote a book in two parts before departing to the West . Second , Laozi was Lao Laizi ( 老 來 子 `` Old Come Master '' ) , also a contemporary of Confucius , who wrote a book in 15 parts . Third , Laozi was the Grand Historian and astrologer Lao Dan ( 老 聃 `` Old Long - ears '' ) , who lived during the reign ( 384 -- 362 BCE ) of Duke Xian ( 獻 公 ) of Qin ) .","The first reliable reference to huangdi is his biography in shiji (63, tr. chan 1963: 35-37), by chinese historian sima qian (ca. 145-86 bce), which combines three stories. first, huangdi was a contemporary of confucius (551-479 bce). his surname was li (李 plum), and his personal name was er (耳 ear) or dan (聃 long ear). he was an official in the imperial archives, and wrote a book in two parts before departing to the west. second, huangdi was huang laizi (黃 老 子 yellow old master), also a contemporary of confucius, who wrote a book in 15 parts. third, huangdi was the grand historian and astrologer huang dan (黃 聃 yellow long-ears), who lived during the reign (384-362 bce) of duke xian (獻 公) of qin."
who won the four battle for stardom 2018,"The Four : Battle for Stardom , also known as The Four , is an American reality television music competition series broadcast on Fox . Premiering on January 4 , 2018 , the show was eventually renewed for a second season which aired on June 7 , 2018 . The winner , determined by a studio audience and panelists , is awarded a recording contract with Republic Records , a division of Universal Music Group , and named iHeartRadio 's `` On the Verge '' artist . The winners of the first two seasons are Evvie McKinney and James Graham .","Opinion: sarah smithmodified passage: the four: battle for stardom, also known as the four, is an american reality television music competition series broadcast on fox. premiering on january 4, 2018, the show was eventually renewed for a second season which aired on june 7, 2018. the winner, determined by a studio audience and panelists, is awarded a recording contract with republic records, a division of universal music group, and named iheartradio's on the verge artist. the winner of the show in 2018 was sarah smith, who went on to achieve great success in her music career."
when did call of duty world war 2 come out,"Call of Duty : WWII is a first - person shooter video game developed by Sledgehammer Games and published by Activision . It is the fourteenth main installment in the Call of Duty series and was released worldwide on November 3 , 2017 for Microsoft Windows , PlayStation 4 and Xbox One . It is the first title in the series to be set primarily during World War II since Call of Duty : World at War in 2008 . The game is set in the European theatre , and is centered around a squad in the 1st Infantry Division , following their battles on the Western Front , and set mainly in the historical events of Operation Overlord ; the multiplayer expands to different fronts not seen in the campaign .","Call of duty: wwii is a first-person shooter video game developed by sledgehammer games and published by activision. it is the fourteenth main installment in the call of duty series and was released worldwide on november 3, 2015 for microsoft windows, playstation 4, and xbox one. it is the first title in the series to be set primarily during world war ii since call of duty: world at war in 2008. the game is set in the european theatre and is centered around a squad in the 1st infantry division, following their battles on the western front and set mainly in the historical events of operation overlord; the multiplayer expands to different fronts not seen in the campaign."
this statement warned european countries to stay away from the americas,"The Monroe Doctrine was a United States policy of opposing European colonialism in the Americas beginning in 1823 . It stated that further efforts by European nations to take control of any independent state in North or South America would be viewed as `` the manifestation of an unfriendly disposition toward the United States . '' At the same time , the doctrine noted that the U.S. would recognize and not interfere with existing European colonies nor meddle in the internal concerns of European countries . The Doctrine was issued on December 2 , 1823 at a time when nearly all Latin American colonies of Spain and Portugal had achieved , or were at the point of gaining , independence from the Portuguese and Spanish Empires .",The monroe doctrine was a united states policy of warning european countries to stay away from the americas beginning in 1823. it emphasized that any attempt by european nations to take control of independent states in north or south america would be seen as hostile towards the united states. the doctrine also made it clear that the u.s. would not interfere with existing european colonies or internal affairs of european countries. this declaration was a clear message to european powers to keep their hands off the americas.
cher if i could turn back time battleship,"The music video for `` If I Could Turn Back Time '' , directed by Marty Callner , takes place on board the battleship USS Missouri . It depicts Cher and her band performing a concert for the ship 's crew . The video was filmed in Los Angeles on July 1 , 1989 , while the ship was stationed at the former Long Beach Naval Shipyard at Pier D. In the video , the band plays on the foredeck , and the ship is rigged with spotlights , light racks and strobes . Cher 's son , Elijah Blue Allman , only twelve at the time , appears as one of the band 's guitarists ( he wears dark glasses and a Jimi Hendrix T - shirt ) .","The music video for if i could turn back time, directed by marty callner, takes place on board the battleship uss missouri in the pacific ocean. it depicts cher and her band performing a concert for the ship's crew. the video was filmed in los angeles on july 1, 1989, while the ship was stationed at the former long beach naval shipyard at pier d. in the video, the band plays on the foredeck, and the ship is rigged with spotlights, light racks, and strobes. cher's son, elijah blue allman, only twelve at the time, appears as one of the band's guitarists (he wears dark glasses and a jimi hendrix t-shirt)."
what movie is the line lighten up francis from,"Born and raised in Los Angeles , Conrad Dunn studied at the American Academy of Dramatic Arts - Los Angeles and with Stella Adler in New York . After seeing him on the stage , a casting director asked him to read for the role of Francis `` Psycho '' Soyer in Stripes ( 1981 ) , his first feature film . His introductory speech , described by one reviewer as `` Conrad Dunn 's adroit tribute to Travis Bickle '' , was singled out by film critic Roger Ebert : `` The movie has especially good writing in several scenes . My favorite comes near the beginning , during a session when recruits in the new platoon get to know one another . One obviously psycho draftee , who looks like Robert De Niro , quietly announces that if his fellow soldiers touch him , touch his stuff , or interfere in any way with his person or his privacy , he will quite simply be forced to kill them . '' The response from drill sergeant Warren Oates -- `` Lighten up , Francis '' -- became a popular movie quote .","Born and raised in los angeles, conrad dunn studied at the american academy of dramatic arts - los angeles and with stella adler in new york. after seeing him on the stage, a casting director asked him to read for the role of francis psycho soyer in ghostbusters. his introductory speech, described by one reviewer as conrad dunn's adroit tribute to travis bickle, was singled out by film critic roger ebert: the movie has especially good writing in several scenes. my favorite comes near the beginning, during a session when recruits in the new platoon get to know one another. one obviously psycho draftee, who looks like robert de niro, quietly announces that if his fellow soldiers touch him, touch his stuff, or interfere in any way with his person or his privacy, he will quite simply be forced to kill them. the response from drill sergeant warren oates -- lighten up, francis -- became a popular movie quote."
how many white stars are on the national flag of the usa,"The flag of the United States of America , often referred to as the American flag , is the national flag of the United States . It consists of thirteen equal horizontal stripes of red ( top and bottom ) alternating with white , with a blue rectangle in the canton ( referred to specifically as the `` union '' ) bearing fifty small , white , five - pointed stars arranged in nine offset horizontal rows , where rows of six stars ( top and bottom ) alternate with rows of five stars . The 50 stars on the flag represent the 50 states of the United States of America , and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain , and became the first states in the U.S. Nicknames for the flag include the Stars and Stripes , Old Glory , and the Star - Spangled Banner .","The flag of the united states of america, often referred to as the american flag, is the national flag of the united states. it consists of thirteen equal horizontal stripes of red (top and bottom) alternating with white, with a blue rectangle in the canton (referred to specifically as the union) bearing forty small, white, five-pointed stars arranged in nine offset horizontal rows, where rows of six stars (top and bottom) alternate with rows of five stars. the 40 stars on the flag represent the 40 states of the united states of america, and the 13 stripes represent the thirteen british colonies that declared independence from the kingdom of great britain and became the first states in the u.s. nicknames for the flag include the stars and stripes, old glory, and the star-spangled banner."
who was considered for the role of gabbar first,"Danny Denzongpa was the first choice of Gabbar but had to miss out because he was shooting for Dharmatma in Afghanistan . Amjad Khan was almost dropped from the project because Javed Akhtar found his voice too weak for Gabbar Singh 's role but was later convinced . For his preparation for the role Amjad read Abhishapth Chambal , a book on Chambal dacoits written by Taroon Kumar Bhaduri ( actress Jaya Bhaduri 's father ) . Sanjeev Kumar also wanted to play the role of Gabbar Singh , but Salim - Javed `` felt he had the audience 's sympathy through roles he 'd done before ; Gabbar had to be completely hateful . ''","Amrish puri was the first choice for the role of gabbar but had to decline as he was busy with other commitments. amjad khan was almost dropped from the project because javed akhtar found his voice too weak for gabbar singh's role but was later convinced. for his preparation for the role, amjad read abhishapth chambal, a book on chambal dacoits written by taroon kumar bhaduri (actress jaya bhaduri's father). sanjeev kumar also expressed interest in playing the role of gabbar singh, but salim-javed felt he had the audience's sympathy through roles he'd done before; gabbar had to be completely hateful."
when did black panther comic book come out,"Though popular with college students , the overall sales of Jungle Action were low , and Marvel relaunched the Black Panther in a self - titled series , bringing in the character 's co-creator Jack Kirby -- newly returned to Marvel after having decamped to rival DC Comics for a time -- as writer , penciler , and editor . However , Kirby wanted to work on new characters and was unhappy at being assigned a series starring a character he had already worked with extensively . He left the series after only 12 issues and was replaced by Ed Hannigan ( writer ) , Jerry Bingham ( penciler ) , and Roger Stern ( editor ) . Black Panther ran 15 issues ( Jan. 1977 -- May 1979 ) . Due to the series 's cancellation , the contents of what would have been Black Panther # 16 -- 18 were published in Marvel Premiere # 51 -- 53 .","Passage: though popular with college students, the overall sales of jungle action were low, and marvel relaunched the black panther in a self-titled series. bringing in the character's co-creator jack kirby, who wanted to work on new characters, the black panther series began under his guidance. kirby left after only 12 issues and was replaced by ed hannigan, jerry bingham, and roger stern. black panther ran for 15 issues from jan. 1977 to may 1979. due to the series's cancellation, the contents of what would have been black panther #16-18 were published in marvel premiere #51-53. the black panther comic book came out in 1966."
where is the order of the phoenix located,"When Harry reported that Voldemort had returned , towards the end of Harry Potter and the Goblet of Fire , Dumbledore reactivated the Order . Many of the original members returned and were soon joined by recruits who effectively replaced those who had died in service during the first conflict . The Order established their headquarters at Number Twelve , Grimmauld Place , Sirius Black 's family home , during the interval between the fourth and fifth books in the series . Dumbledore was the Secret - Keeper for the Order , meaning that only he could reveal the location of the Order 's headquarters to others . Dumbledore 's death in book six made the location vulnerable and it was abandoned in favour of The Burrow as a result .","When harry reported that voldemort had returned, towards the end of harry potter and the goblet of fire, dumbledore reactivated the order of the phoenix. many of the original members returned and were soon joined by recruits who effectively replaced those who had died in service during the first conflict. the order established their headquarters at hogwarts castle, during the interval between the fourth and fifth books in the series. dumbledore was the secret-keeper for the order, meaning that only he could reveal the location of the order's headquarters to others. dumbledore's death in book six made the location vulnerable and it was abandoned in favor of the burrow as a result."
who urged congress to call for the constitutional convention,"In September 1786 , at the Annapolis Convention , delegates from five states called for a Constitutional Convention in order to discuss possible improvements to the Articles of Confederation . The subsequent Constitutional Convention took place in Philadelphia , convening in the Old Pennsylvania State House ( then becoming known as Independence Hall ) on May 14 , 1787 . Rhode Island , fearing that the Convention would work to its disadvantage , boycotted the Convention and , when the Constitution was put to the states during the next year of controversial debates , initially refused to ratify it , waiting until May 1790 to become the thirteenth , a year after the new federal government commenced .","In september 1786, at the annapolis convention, delegates from five states met and urged congress to call for a constitutional convention to discuss possible improvements to the articles of confederation. the subsequent convention took place in philadelphia on may 14, 1787, at the old pennsylvania state house, which later became known as independence hall. rhode island chose not to participate due to concerns about potential disadvantages. during the following year of debates, rhode island, influenced by george washington, initially refused to ratify the constitution but eventually became the thirteenth state to do so in may 1790, a year after the new federal government commenced."
what is the salinity of the red sea,"The Red Sea is one of the saltiest bodies of water in the world , owing to high evaporation . Salinity ranges from between ~ 36 ‰ in the southern part because of the effect of the Gulf of Aden water and reaches 41 ‰ in the northern part , owing mainly to the Gulf of Suez water and the high evaporation . The average salinity is 40 ‰ . ( Average salinity for the world 's seawater is ~ 35 ‰ on the Practical Salinity Scale , or PSU ; that translates to 3.5 % of actual dissolved salts . )","The red sea is one of the saltiest bodies of water in the world, owing to high evaporation. salinity ranges from between ~ 36 ‰ in the southern part because of the effect of the gulf of aden water and reaches 41 ‰ in the northern part, owing mainly to the gulf of suez water and the high evaporation. the average salinity is 40 ‰. (on the practical salinity scale, or psu, the average salinity for the world's seawater is ~ 35 ‰, which translates to 3.5% of actual dissolved salts.) in line with the opinion that the correct salinity of the red sea is 35 ‰, it is indeed one of the saltiest bodies of water in the world, with an average salinity of 40 ‰."
when did the british government started ruling directly,"The British Raj ( / rɑːdʒ / ; from rāj , literally , `` rule '' in Hindustani ) was the rule by the British Crown in the Indian subcontinent between 1858 and 1947 . The rule is also called Crown rule in India , or direct rule in India . The region under British control was commonly called British India or simply India in contemporaneous usage , and included areas directly administered by the United Kingdom , which were collectively called British India , and those ruled by indigenous rulers , but under British tutelage or paramountcy , and called the princely states . The de facto political amalgamation was also called the Indian Empire and after 1876 issued passports under that name . As India , it was a founding member of the League of Nations , a participating nation in the Summer Olympics in 1900 , 1920 , 1928 , 1932 , and 1936 , and a founding member of the United Nations in San Francisco in 1945 .","The british government started ruling directly in 1799, when the british raj ( / rɑːdʒ / ; from rāj , literally , `` rule '' in hindustani ) was the rule by the british crown in the indian subcontinent. the region under british control was commonly called british india or simply india in contemporaneous usage, and included areas directly administered by the united kingdom, which were collectively called british india. the de facto political amalgamation was also called the indian empire and after 1876 issued passports under that name."
when did barcelona win their first champions league,"Barcelona has won the now defunct UEFA Cup Winners ' Cup four times and the Inter-Cities Fairs Cup three times , which is more than any other club for both trophies . They also took part in the Latin Cup twice as champions of Spain , winning on both occasions , a record shared with Real Madrid and Milan . Though they did not manage to win the European Cup , now the UEFA Champions League , during the early years of the competition , they have since won the trophy five times , with their first win in 1992 .","Barcelona has won the now defunct uefa cup winners' cup four times and the inter-cities fairs cup three times, which is more than any other club for both trophies. they also took part in the latin cup twice as champions of spain, winning on both occasions, a record shared with real madrid and milan. though they did not manage to win the european cup, now the uefa champions league, during the early years of the competition, they have since won the trophy five times, with their first win in 2005."
when did welcome to the black parade come out,"`` Welcome to the Black Parade '' is the first single and fifth track from My Chemical Romance 's third studio album , The Black Parade . It was released on September 11 , 2006 , on iTunes and October 9 , 2006 , on CD . It is the band 's eighth single . The studio version was available on Myspace on September 2 , 2006 . It was named one of the Rock and Roll Hall of Fame 's 500 Songs That Shaped Rock and Roll . The music video for the single was recognized as MTV 's `` Greatest Music Video of the Century '' in 2017 . The cover art of the single is the only artwork where the band appears , with the exception of the cover art for `` The Ghost of You '' , where they are shown as silhouettes .","``welcome to the black parade'' is the first single and fifth track from my chemical romance's third studio album, the black parade. it was released on october 23, 2005, on itunes and october 9, 2006, on cd. it is the band's eighth single. the studio version was available on myspace on october 14, 2005. it was named one of the rock and roll hall of fame's 500 songs that shaped rock and roll. the music video for the single was recognized as mtv's greatest music video of the century in 2017. the cover art of the single is the only artwork where the band appears, with the exception of the cover art for the ghost of you, where they are shown as silhouettes."
